정류소명,정류소아이디,상_하행
십정동차고지,166000913,상행
십정사거리,166000029,상행
선린감리교회,166000043,상행
백영아파트,166000058,상행
상정고,166000069,상행
백운공원(부평아트센터),166000076,상행
부평도서관,166000082,상행
현대아파트,166000788,상행
2001아울렛,166000159,상행
부원중학교,166000789,상행
부평역(대한극장),166000196,상행
부평역,166000209,상행
힘찬병원,166000891,상행
부흥초등학교,166000304,상행
부흥오거리(부흥아파트),166000392,상행
정병원,166000413,상행
부개여자고등학교,166000421,상행
부평동중,166000406,상행
수변로삼거리,166000370,상행
부개성일아파트,166000301,상행
부개역,166000256,상행
송내고교입구,210000171,상행
자동차매매단지,210000246,상행
송내역.영화의거리,210000472,상행
법원.검찰청.복사골문화센터.반달마을,210000049,상행
사랑마을벽산.선경.삼익아파트,210000061,상행
포도마을,210000167,상행
금강마을,210000106,상행
중원고등학교,210000632,상행
부천테크노파크1단지,212000222,상행
서운일반산업단지입구,167000646,상행
계양체육관(아시아드양궁장),167000454,상행
대동아파트후문,167000137,상행
동보아파트,167000143,상행
계양구청,167000180,상행
신대진중앙아파트,167000271,상행
안산초등학교(구계산고교),167000425,상행
계산역,167000426,상행
계산동우체국,167000427,상행
신동양아파트,167000203,상행
경남아파트,168000334,상행
공촌사거리,168000324,상행
우성아파트,168000718,상행
경서지구입구,168000303,상행
주물단지,168000291,상행
엘지마그나,168001264,상행
서부공단입구,168000299,상행
북인천하부TG(미정차),168001287,상행
금산IC(미정차),161000634,상행
인천공항T1(3층2번),161000032,상행
인천공항T1(3층7번),161000203,상행
인천공항T1(3층13번),161000556,상행
인천공항T1(1층2A),161000344,하행
인천공항T1(1층13B),161000205,하행
이마트,161000207,하행
국제업무단지(공항청사),161000026,하행
금산IC(미정차),161000635,하행
북인천하부TG(미정차),168000901,하행
청라국제도시역,168001034,하행
LG전자(주),168000297,하행
엘지마그나,168001029,하행
도림주철관공업(주),168000293,하행
서부공단입구,168000301,하행
우성아파트,168000717,하행
공촌사거리(한국아파트),168000322,하행
공촌사거리,168000330,하행
경남아파트,168000332,하행
신동양아파트,167000202,하행
계산우체국,167000430,하행
계산역,167000431,하행
계산주공아파트,167000423,하행
신대진중앙아파트,167000274,하행
계양구청,167000177,하행
까치공원.작전도서관,167000149,하행
태화한진아파트,167000132,하행
계양체육관(벨로드롬경기장),167000440,하행
계양체육관(아시아드양궁장),167000455,하행
서운일반산업단지입구(맞은편),167000647,하행
부천테크노파크1.2단지,212000204,하행
부천실내체육관,210000630,하행
금강마을,210000631,하행
부천터미널소풍,210000160,하행
하얀마을,210000381,하행
복사골문화센터.한아름마을,210000062,하행
송내역.로데오거리,210000537,하행
자동차매매단지,210000245,하행
송내고교입구,210000102,하행
대동아파트정문앞,210000475,하행
성일아파트후문앞,210000427,하행
상동가구,210000326,하행
부평동중,210000015,하행
부개여자고등학교,166000422,하행
방촌공원,166000419,하행
부흥오거리(부흥아파트),166000394,하행
인천노인전문병원,166000878,하행
힘찬병원,166000892,하행
부평역(12번출구),166000781,하행
부평역(북인천우체국),166000197,하행
부원중학교,166000181,하행
2001아울렛,166000162,하행
현대아파트,166000112,하행
부평도서관,166000084,하행
백운공원(부평아트센터),166000075,하행
상정고,166000070,하행
상정중학교,166000059,하행
선린감리교회,166000047,하행
십정사거리,166000033,하행
십정동차고지,166000913,하행
십정시장입구,166000008,상행
동암사거리,166000001,상행
간석오거리역(7번출구),165000447,상행
간석오거리(인천웨딩홀),165000423,상행
올리브백화점,165000364,상행
간석금호어울림아파트,165000334,상행
구월중학교,165000286,상행
길병원,165000250,상행
길병원사거리,165000212,상행
성리초등학교,165000201,상행
구월도매시장,165000193,상행
롯데백화점(인천터미널),165000588,상행
풍림아파트,163000245,상행
