정류소명,정류소아이디
십정동차고지,166000913
십정사거리,166000029
선린감리교회,166000043
백영아파트,166000058
상정고,166000069
백운공원(부평아트센터),166000076
부평도서관,166000082
현대아파트,166000788
2001아울렛,166000159
부원중학교,166000789
부평역(대한극장),166000196
부평역,166000209
힘찬병원,166000891
부흥초등학교,166000304
부흥오거리(부흥아파트),166000392
정병원,166000413
부개여자고등학교,166000421
부평동중,166000406
수변로삼거리,166000370
부개성일아파트,166000301
부개역,166000256
송내고교입구,210000171
자동차매매단지,210000246
송내역.영화의거리,210000472
법원.검찰청.복사골문화센터.반달마을,210000049
사랑마을벽산.선경.삼익아파트,210000061
포도마을,210000167
금강마을,210000106
중원고등학교,210000632
부천테크노파크1단지,212000222
서운일반산업단지입구,167000646
계양체육관(아시아드양궁장),167000454
대동아파트후문,167000137
동보아파트,167000143
계양구청,167000180
신대진중앙아파트,167000271
안산초등학교(구계산고교),167000425
계산역,167000426
계산동우체국,167000427
신동양아파트,167000203
경남아파트,168000334
공촌사거리,168000324
우성아파트,168000718
경서지구입구,168000303
주물단지,168000291
엘지마그나,168001264
서부공단입구,168000299
북인천하부TG(미정차),168001287
금산IC(미정차),161000634
인천공항T1(3층2번),161000032
인천공항T1(3층7번),161000203
인천공항T1(3층13번),161000556
인천공항T1(1층2A),161000344
인천공항T1(1층13B),161000205
이마트,161000207
국제업무단지(공항청사),161000026
금산IC(미정차),161000635
북인천하부TG(미정차),168000901
청라국제도시역,168001034
LG전자(주),168000297
엘지마그나,168001029
도림주철관공업(주),168000293
서부공단입구,168000301
우성아파트,168000717
공촌사거리(한국아파트),168000322
공촌사거리,168000330
경남아파트,168000332
신동양아파트,167000202
계산우체국,167000430
계산역,167000431
계산주공아파트,167000423
신대진중앙아파트,167000274
계양구청,167000177
까치공원.작전도서관,167000149
태화한진아파트,167000132
계양체육관(벨로드롬경기장),167000440
계양체육관(아시아드양궁장),167000455
서운일반산업단지입구(맞은편),167000647
부천테크노파크1.2단지,212000204
부천실내체육관,210000630
금강마을,210000631
부천터미널소풍,210000160
하얀마을,210000381
복사골문화센터.한아름마을,210000062
송내역.로데오거리,210000537
자동차매매단지,210000245
송내고교입구,210000102
대동아파트정문앞,210000475
성일아파트후문앞,210000427
상동가구,210000326
부평동중,210000015
부개여자고등학교,166000422
방촌공원,166000419
부흥오거리(부흥아파트),166000394
인천노인전문병원,166000878
힘찬병원,166000892
부평역(12번출구),166000781
부평역(북인천우체국),166000197
부원중학교,166000181
2001아울렛,166000162
현대아파트,166000112
부평도서관,166000084
백운공원(부평아트센터),166000075
상정고,166000070
상정중학교,166000059
선린감리교회,166000047
십정사거리,166000033
십정시장입구,166000008
동암사거리,166000001
간석오거리역(7번출구),165000447
간석오거리(인천웨딩홀),165000423
올리브백화점,165000364
간석금호어울림아파트,165000334
구월중학교,165000286
길병원,165000250
길병원사거리,165000212
성리초등학교,165000201
구월도매시장,165000193
롯데백화점(인천터미널),165000588
풍림아파트,163000245
인명여자고등학교,163000199
문학경기장(박태환수영장),164000329
선학체육관(하키경기장),164000309
선학역,164000305
연수병원,164000296
연수초등학교,164000290
신연수(풍림아파트),164000339
대우아파트,164000206
연수주공3차아파트,164000188
대동아파트,164000128
연수구청입구,164000095
동춘역,164000346
동막역(3번출구),164000433
성지아파트,164000017
신송고등학교,164000024
송도풍림아이원4단지,164000032
먼우금초등학교,164000021
송도1동행정복지센터,164000012
해양경찰청,164000411
이안송도,164000409
인천대교TG(미정차),161000629
인천대교TG(미정차),161000628
더프라우,164000410
송도힐스테이트5단지,164000393
송도더샵퍼스트월드(동문),164000013
풍림2.3차아파트,164000350
금호아파트,164000349
신송고등학교,164000023
한진아파트,164000016
동막역(1번출구),164000039
동춘역(이마트.스퀘어원),164000070
우성1차아파트,164000094
연수경찰서,164000111
솔안공원,164000348
연수1차아파트,164000187
대우아파트,164000208
신연수(풍림아파트),164000240
경남아파트,164000281
선학역(1번출구),164000306
선학체육관(하키경기장),164000308
문학경기장(박태환수영장),164000310
인명여자고등학교,163000205
풍림아파트,163000246
롯데백화점(인천터미널),163000513
구월도매시장,165000192
성리초등학교,165000200
길병원사거리,165000216
길병원,165000590
구월중학교,165000281
간석래미안.자이,165000333
올리브백화점,165000589
간석오거리(인천웨딩홀),165000406
간석오거리역(8번출구),165000449
동암사거리,166000003
십정시장입구,166000007
간석오거리(교원공제조합),165000444
간석사거리(상인천중학교),165000422
만수소방서,165000428
인수초등학교,165000392
남동구청,165000279
큰방죽삼거리,165000576
논현13단지푸르네마을,165000618
논현11단지단풍마을,165000616
논현8단지동산마을,165000104
청능로사거리,165000623
논현고잔동행정복지센터,165000707
에코메트로11단지,165000652
에코메트로10단지,165000728
남동소래아트홀,165000743
장인가구,165000706
송도세브란스병원,164000653
연세대,165000725
송도테크노파크IT센터,165000970
테크노파크역,164000421
웰카운티2단지,164000711
웰카운티1단지,164000650
지식정보단지역,164000403
웰카운티4단지,164000446
인천가톨릭대,164000500
미추홀공원,164000368
송도더샵퍼스트월드(서문),164000381
송도더샵퍼스트월드,164000589
인천공항전망대(미정차),161000630
인천공항T2(1)번출입구(3층),161000614
인천공항T2(8)번출입구(3층),161000615
인천공항T2(1)A(1층),161000618
인천공항T2(6)B(1층),161000619
인천공항전망대(미정차),161000631
하얏트호텔,161000206
송도푸르지오월드마크,164000426
컨벤시아,164000372
송도컨벤시아,164000367
인천가톨릭대,164000424
웰카운티4단지,164000447
지식정보단지역,164000373
송도더샵센트럴시티.글로벌캠퍼스푸르지오,164000649
송도글로벌캠퍼스푸르지오2단지,164000713
테크노파크역,164000422
송도테크노파크IT센터,165000929
연세대,165000861
해안도로신항만교,165000001
남동소래아트홀,165000792
에코메트로10단지,165000736
에코메트로12단지,165000651
논현동힐스테이트,165000708
청능로사거리,165000622
논현9단지냇마을신영지웰A,165000101
소래초등학교,165000615
논현13단지푸르네마을,165000617
큰방죽삼거리,165000575
남동구청,165000263
인수초등학교,165000386
만수소방서,165000433
간석사거리(상인천중학교),165000426
목화예식장,165000446
종합터미널,163000242
신연수역(3번출구),164000228
원인재역(6번출구),164000166
부대앞,164000594
그린나래지하차도,161000648
금홍염전,161000544
해맞이공원앞,161000616
중구청소년수련관.하늘중학교,161000824
LH7단지,161000452
센트럴푸르지오자이,161000660
한양수자인(후문),161000510
우미린2단지정문,161000513
신명스카이뷰정문,161000455
동보노빌리티,161000488
힐스테이트,161000457
한라비발디,161000459
화성파크드림.스카이시티자이,161000651
우미린1단지정문,161000583
우미린1단지후문,161000462
영종KCC스위첸옆문,161000756
중산동(중촌),161000278
중산동,161000305
영종교회,161000545
관창마을,161000253
전소,161000232
영종물류고등학교앞,161000307
남뒤3거리,161000280
영종중학교,161000463
운남동,161000281
운서초등학교,161000270
넙디,161000575
영종고등학교,161000493
LH1단지,161000494
영종유승한내들스카이스테이,161000759
레전드호텔,161000639
운서역,161000242
금호베스트빌2단지.영종도서관,161000113
풍림1차205동,161000256
원인재역(1번출구),164000162
신연수역(1번출구),164000263
문학경기장(박태환수영장),164000423
종합터미널,165000177
동춘동차고지,164000569
동춘동종점,164000037
무지개아파트(동남아파트),164000042
동춘2동행정복지센터,164000046
한양2차아파트,164000055
나사렛국제병원앞,164000068
청량중학교,164000086
연수어린이도서관,164000103
동아금호아파트,164000347
연수한양1차아파트,164000091
남동대교(스퀘어원),165000063
한국가스공사,165000061
태평양산업,165000066
인천인력개발원,165000071
남동인더스파크역,165000074
남동공단근린공원앞,165000073
인천지방중소기업청입구,165000087
삼일산업,165000097
공단회관,165000123
상진정공,165000136
도림동입구,165000140
승기천,165000170
동암역,166000013
십정초등학교,166000045
십정고개,166000050
강인여객,166000020
근로자문화센터,168000010
중앙사료,168000015
공단자동차,168000022
서인천가구단지,168000017
금강탱크터미널,168000758
성웅아파트,168000051
가좌농협,168000066
삼영아파트,168000085
가좌홈플러스(쌍마아파트),168000101
거북시장,168000136
대은교회,168000143
석남고가사거리,168000151
성민병원,168000162
강남시장,168000173
신현119안전센터,168000596
신현쇼핑,168000220
(구)신현주공,168000228
가정(루원시티)역,168001075
뉴서울아파트,168001072
대우하나아파트,168001074
아나지고개,167000001
유승아파트(삼성홈타운아파트),167000003
북인천여자중학교,167000007
새말사거리,167000009
아이즈빌(부평CGV),166000595
청천초등학교,166000586
청천치안센터,166000533
산곡동천주교회,166000473
산곡역(1번출구),166000420
부평우체국,166000430
금호아파트,166000795
부평경찰서,166000794
부평구청,166000462
부평여자고등학교,166000793
혜성프라자,166000395
KT부평지사,166000384
미산초등학교,166000378
한화2차,166000363
한양아파트,166000310
무지개.한양8차아파트,166000271
대륭맨숀,166000242
산곡여자중학교,166000203
문화교회,166000174
인평자동차고,166000787
현대3단지,166000127
현대자동차빌딩앞,166000103
현대아파트113동,166000105
현대3단지,166000129
인평자동차고,166000149
팔도주유소,166000774
산곡여자중학교,166000198
대륭맨숀,166000247
무지개.한양8차아파트,166000276
금호이수마운트밸리,166000316
한양아파트,166000356
경남1차아파트,166000376
KT부평지사,166000381
혜성프라자,166000393
부평여자고등학교,166000410
부평구청,166000451
부평경찰서,166000468
금호아파트,166000845
쉐보레인천서비스,166000433
부평우체국,166000432
산곡역(7번출구),166000425
산곡동천주교회,166000476
청천치안센터,166000537
청천초등학교,166000582
아이즈빌(부평CGV),166000598
새말사거리,167000638
북인천여자중학교,167000008
유승아파트(삼성홈타운아파트),167000004
아나지고개,167000002
대우하나아파트,168001073
뉴서울아파트,168001071
가정(루원시티)역,168001078
하늘채아파트,168000225
신현쇼핑,168000217
신현119안전센터,168000600
강남시장,168000172
성민병원,168000159
석남고가사거리,168000145
거북시장,168000132
가좌홈플러스(쌍마아파트),168000103
신명아파트,168000081
가좌농협,168000067
성웅아파트,168000048
서인천가구단지,168000028
현대써비스,168000021
중앙사료,168000014
근로자문화센터,168000011
강인여객,166000022
십정고개,166000049
십정초등학교,166000048
동암역,166000035
승기천,165000169
도림동입구,165000141
상진정공,165000138
공단회관,165000119
세우산업,165000094
남동공단2호공원,165000075
남동공단우체국,165000076
인천인력개발원,165000072
공단소방서,165000062
남동대교,164000090
동아금호아파트,164000344
롯데아파트,164000110
동춘마을아파트,164000087
건영아파트,164000069
대동아파트,164000345
동춘2동행정복지센터,164000045
동남아파트(무지개아파트),164000337
종근당,166000002
간석시장,165000437
간석사거리,165000430
태화두진아파트,165000445
벽산이삭아파트,165000458
부평LH1(2)단지,166000160
한국아파트,166000791
부개1동행정복지센터,166000193
일신시장,166000207
일신동행정복지센터,166000220
송내역남부,211000050
구산사거리,166000843
근로복지공단인천병원,166000145
인천대공원,165000478
남동정수장,165000372
만수7.8단지앞,165000497
건설기술교육원,165000353
삼환아파트,165000328
남동초등학교,165000254
삼익.광명아파트,165000247
남동중학교,165000224
남동체육관(체조경기장),165000862
수산동,165000175
방죽삼거리,165000173
동녘마을입구,165000660
논현12단지산뒤마을,165000609
논현13단지푸르네마을,165000611
장도초등학교,165000129
논현10단지별빛마을웰카운티A정문,165000121
논현신일해피트리아파트,165000089
논현5단지달맞이마을,165000079
논현3단지하늘마을311동,165000628
논현3단지하늘마을301동,165000631
호구포역,165000785
금강산업,165000058
한국마쓰이,165000057
남동공단(기신정기),165000568
삼환아파트,164000063
롯데슈퍼,164000074
롯데슈퍼,164000072
대우삼환아파트,164000591
경인산업,165000688
기신정기,165000567
대일엠앤쿡,165000059
한국마쓰이,165000055
금강산업,165000056
호구포역,165000784
인천남동우체국,165000630
논현3단지하늘마을311동,165000629
논현6단지어진마을한화꿈에그린A정문,165000078
논현신일해피트리아파트,165000088
논현11단지단풍마을A정문,165000582
장도초등학교,165000127
논현14단지등대마을휴먼시아아파트,165000612
논현14단지등대마을,165000610
논현중학교,165000573
방죽삼거리,165000174
수산동,165000176
남동체육관(체조경기장),165000682
남동중학교,165000220
삼익.광명아파트,165000249
남동초등학교,165000255
삼환아파트,165000316
건설기술교육원,165000354
만수7.8단지앞,165000635
인천대공원,165000471
근로복지공단인천병원,166000155
구산사거리,166000842
송내고등학교,166000219
일신시장,166000210
부개1동행정복지센터,166000191
한국아파트,166000790
벽산.이삭아파트,165000453
태화.두진아파트,165000441
간석시장,165000436
종근당,166000005
영종역,161000566
허브주유소,161000446
원성골,161000434
운남교차로.잔다리,161000596
운남교차로,161000435
중촌교차로,161000436
중산교차로,161000653
옹진축협,161000315
돌팍재삼거리,161000273
하늘초등학교후문,161000500
한신더휴스카이파크,161000654
중산중학교,161000656
영종하늘도서관,161000585
화성파크드림후문.한라비발디,161000659
한라비발디,161000460
힐스테이트,161000458
동보노빌리티,161000489
신명스카이뷰,161000456
우미린2단지후문,161000454
한양수자인,161000450
은골공원,161000599
운서역,161000257
인아교회,161000094
공항초등학교,161000087
주공12단지,161000082
KT인천공항지사,161000095
롯데마트,161000108
주거단지,161000120
공항교회앞,161000123
삼목초등학교,161000310
공항중학교,161000117
영종풍림아이원1차,161000110
인천공항T1(3층6번),161000752
인천공항T1(3층14번),161000753
풍림1차205동,161000255
영종주공7단지,161000111
공항고등학교,161000116
삼목초등학교,161000341
풍림6단지,161000124
주거단지,161000118
KT인천공항지사,161000109
주공12단지,161000084
인아교회,161000091
은골공원,161000600
영종유승한내들스카이스테이,161000760
LH1단지,161000495
영종고등학교,161000496
넙디,161000574
운서초등학교,161000282
운남동,161000268
영종중학교,161000464
남뒤3거리,161000271
영종국제물류고등학교,161000314
전소,161000231
관창마을,161000252
영종교회,161000306
중산동(까치빌라앞),161000247
중산동(중촌),161000272
영종KCC스위첸옆문,161000755
영종KCC스위첸.한양수자인,161000449
센트럴푸르지오자이,161000661
LH7단지,161000451
신명스카이뷰,161000453
한라비발디후문.화성파크드림,161000658
영종하늘도서관,161000586
중산중학교,161000657
한신더휴스카이파크,161000655
하늘초등학교후문,161000499
돌팍재삼거리,161000277
옹진축협,161000304
중산교차로,161000652
중촌교차로,161000443
운남교차로,161000444
운남교차로.잔다리,161000595
원성골,161000445
허브주유소,161000447
영종역,161000567
신북항고가교,168000109
풍림엑슬루타워,168000830
린스트리우스,168000831
중흥S클래스,168000832
인천환경공단,164000570
캠퍼스타운역,164000419
송도센트럴파크역,164000563
국제업무지구역5번출구,164000619
송도달빛축제공원역,164000698
송도sk뷰,164000709
랜드마크시티센트럴더샵(106동),164000667
송도호반베르디움3차에듀시티,164000644
미송초등학교(하행),164000655
볼보트럭남인천사업소,161000814
청라파크자이상가,168001300
골드클래스,168000936
호수공원음악분수,168001027
한일베라체,168000948
동양엔파트,168000837
휴먼시아후문,168000885
제일풍경채2차323동앞,168000891
남광하우스토리,168000921
레이크블루,168001334
청라센텀로제비앙,168001295
모아미래도,168001344
청라달튼국제학교,168001121
청라국제도시역,168001043
청라국제도시역(영종방향),168001215
청라달튼국제학교,168000895
청라센텀로제비앙,168001296
레이크블루,168001335
남광하우스토리,168000920
청라센트럴에일린의뜰106동,168000892
청라센트럴에일린의뜰,168000834
홈플러스,168001225
롯데캐슬,168000835
롯데캐슬,168000999
동양엔파트,168000820
한일베라체,168000865
호수공원음악분수,168001028
청라동문굿모닝힐,168001017
청라파크자이상가,168001299
한라시멘트,161000291
미송초등학교,164000656
e편한세상 정문,164000626
랜드마크시티센트럴더샵(106동),164000668
송도sk뷰,164000710
송도달빛축제공원역,164000699
국제업무지구역,164000528
센트럴파크역,164000574
지식정보단지역,164000404
캠퍼스타운역,164000420
마전지구버스차고지,168001259
1차풍림아이원,168000642
마전지구1,168000643
풍림2차,168000485
마전지구대원아파트,168000481
마전고등학교,168000753
대주파크빌,168000466
검단동행정복지센터(검단고교),168000445
검단농협,168000434
검단출장소,168000423
완정초등학교.검단도서관,168000414
마전역,168000412
마전초등학교,168000408
동아아파트,168000404
완정사거리,168000561
완정역,168000674
당하동탑스빌아파트,168000639
엘리지안타운,168000394
백석고가(하이마트),168000381
독정역(서구동구예비군훈련장),168000377
백석중.고등학교,168000375
한들마을입구(유아교육진흥원),168000370
서구국민체육센터,168000776
검암중학교,168000362
풍림3차아파트,168000366
풍림1차아파트,168000969
검암역.서해그랑블아파트,168000360
검암사거리,168000358
서해아파트,168000355
검암경서동행정복지센터,168000353
삼보아파트,168000351
간재울초등학교,168000347
서곶지구대,168000338
빈정내사거리,168000329
중앙아파트,168000315
서인천세무서,168000307
태영아파트,168000298
서구보건소,168000283
KT서인천지사,168000933
심곡동광명아파트,168001153
웰카운티17단지,168001183
청라고등학교,168000785
호반베르디움214동앞,168000998
호반베르디움,168000855
메이루즈커낼파크뷰,168000747
호반베르디움14단지,168000880
제일풍경채2차331동앞,168000989
대우푸르지오,168000842
레이크파크,168000840
중앙호수공원입구(호반베르디움),168001245
청라호반베르디움.포리공원,168000919
청라호수공원(남측),168000863
청라복합문화센터,168001218
SK뷰아파트,168000888
청라힐스테이트,168000987
반도유보라,168000904
복합환승센터,168001044
로봇랜드입구,168001022
반도유보라,168000905
청라힐스테이트,168000988
SK뷰아파트,168000889
청라복합문화센터,168001219
청라호수공원(남측),168000861
청라호반베르디움.포리공원,168000899
한일베라체,168000839
남광하우스토리,168000841
청라센트럴에일린의뜰104동,168000990
린스트라우스,168000881
메이루즈커낼파크뷰,168000762
중흥S클래스2차,168000856
청라웰카운티223동,168000997
청라고등학교,168000784
웰카운티17단지,168001182
심곡동광명아파트,168001154
KT서인천지사,168000932
서구보건소,168000285
태영아파트,168000300
서인천세무서,168000310
빈정내사거리,168000327
서곶지구대,168000339
서인천고등학교,168000346
삼보아파트,168000350
검암경서동행정복지센터,168000352
서해아파트,168000354
검암초등학교,168000361
검암역입구(시천교밑),168001250
풍림1차아파트,168000970
은지초등학교사거리,168000365
검암중학교,168000359
검암역입구,168000851
한들마을입구(유아교육진흥원),168000371
백석중.고등학교,168000374
독정역(서구동구예비군훈련장),168000378
백석고가(하이마트),168000578
당하탑스빌아파트,168000393
