노선번호,노선아이디
302번,165000067
302B번,165000452
303번,165000219
303-1번,165000350
304번,165000389
103번,165000056
103-1번,165000216
223번,165000063
223A번,165000408
급행91번,166000010
17-1번,165000346
60-5번,165000391
70번,165000230
700-1번,165000165
800번,165000313
800A번,169000025
800B번,169000026
14-1번,165000018
인천e음11번,168000035
인천e음12번,168000012
인천e음13번,168000013
인천e음21번,168000036
인천e음22번,168000037
인천e음31번,168000040
인천e음53번,168000017
인천e음85번,168000038
인천e음86번,168000039
인천e음87번,168000018
인천e음88번,168000019
904(강화)번,169100002
903(강화)번,169100003
10(강화)번,165000251
10A(강화)번,165000477
11(강화)번,165000252
11A(강화)번,165000478
12(강화)번,165000253
12A(강화)번,165000479
13(강화)번,165000254
14(강화)번,165000255
15(강화)번,165000256
16(강화)번,169000014
17(강화)번,165000258
18(강화)번,165000473
19(강화)번,169000009
20(강화)번,165000259
21(강화)번,165000260
22(강화)번,165000261
23(강화)번,165000262
23A(강화)번,169000010
24(강화)번,165000263
25(강화)번,165000264
26(강화)번,165000265
27(강화)번,165000266
28(강화)번,169000015
29(강화)번,169000016
3(강화)번,165000249
30(강화)번,165000267
30A(강화)번,169200008
31A(강화)번,165000487
31B(강화)번,165000488
32(강화)번,165000269
33(강화)번,165000270
34(강화)번,165000271
35A(강화)번,165000504
35B(강화)번,165000505
37(강화)번,165000274
39(강화)번,169000011
39A(강화)번,169000012
4(강화)번,165000250
40(강화)번,165000276
41(강화)번,165000277
42(강화)번,165000278
43(강화)번,165000306
44(강화)번,165000280
44A(강화)번,165000496
45(강화)번,165000281
46(강화)번,169000017
47(강화)번,169000018
48(강화)번,165000284
49(강화)번,165000474
50(강화)번,165000285
51(강화)번,165000286
52(강화)번,165000287
53(강화)번,165000288
53A(강화)번,165000481
54(강화)번,165000289
55(강화)번,165000290
57(강화)번,165000292
58(강화)번,165000466
59(강화)번,165000467
61(강화)번,169000019
62(강화)번,169000020
9(강화)번,165000491
901(강화)번,169100005
902(강화)번,169100004
905(강화)번,169100006
906(강화)번,169100007
대곡5번,168100001
320번,165000392
515번,165000077
515-1번,165000243
561번,165000107
562번,166000011
574번,165000119
6-1번,165000008
1300번,165000149
1301번,165000150
1302번,165000421
35번,165000034
523번,165000085
525번,164000002
65번,165000045
65-1번,165000046
급행98번,164000001
10번,165000013
2번,165000002
2-1번,165000238
45번,165000041
급행95번,167000001
1000번,165000145
1400번,165000151
1500번,165000152
9500번,165000163
522번,165000084
524번,165000422
565번,165000112
585번,165000125
591번,165000130
592번,165000132
594번,168000031
순환52번,168000030
111번,165000057
111-2번,165000180
111B번,166000004
117번,165000412
33번,165000032
36번,165000035
790번,168000010
790A번,168000028
790B번,168000029
905-1번,169000021
905-2번,169000022
906-1번,169000023
906-2번,169000024
506번,165000071
569번,165000116
570번,165000117
582번,165000122
584번,165000124
584-1번,166000001
587번,165000127
14번,165000017
23번,165000026
4번,165000004
58번,161000007
62번,165000043
79번,165000053
급행99번,161000008
533번,165000088
534번,165000089
510번,165000072
531번,165000086
532번,165000513
540번,165000096
566번,165000113
567번,165000114
동구-1번,165000511
동구-2번,165000512
순환56번,165000519
1200번,165000148
300번,165000064
595번,165000324
72번,165000328
80번,165000054
87번,165000055
9300번,165000162
16번,165000020
3-2번,165000310
511번,165000073
512번,165000074
9번,165000334
521번,165000083
551번,165000097
586번,165000126
588번,165000128
535번,165000090
536번,165000092
537번,165000093
538번,165000094
539번,165000095
순환54번,165000518
11번,165000014
24-1번,165000028
67-1번,165000048
16-1번,165000201
8번,165000012
8A번,165000364
M6628번,165000409
15번,165000019
28번,165000030
28-1번,165000196
인천e음45번,168000016
인천e음84번,168000027
1100번,165000146
1101번,165000147
1601번,165000154
9501번,165000164
9802번,165000303
1번,165000001
516번,165000078
518번,165000080
520번,165000082
66번,165000240
92번,168000042
34번,165000033
37번,165000036
526번,165000382
555번,165000101
13번,165000016
330번,165000509
46번,165000042
517번,165000079
519번,165000081
6777번,161000002
82번,161000005
93번,161000006
M6751번,161000003
202번,165000059
202A번,168000006
203번,165000060
204번,165000445
205번,168000003
206번,168000041
222번,165000062
222(A)번,165000315
222(B)번,165000318
42번,165000039
47번,168000033
7번,168000034
81번,165000442
인천e음15번,168000014
인천e음16번,168000020
인천e음17번,168000021
중구1번,165000415
중구2번,165000416
중구2-1번,165000417
중구3번,165000418
중구4번,165000419
중구5번,168000043
중구6번,168100002
중구6-1번,168000002
방개골 순환행번,170000004
선재리행번,170000005
십리포행번,170000003
영흥도번,170100001
무의1번,161100001
22번,165000025
6번,165000007
9100번,165000160
9200번,165000161
9201번,165000245
M6405번,165000215
계양1번번,165000325
계양2번번,165000326
63번,165000520
701번,165000498
702번,165000499
7700번,165000377
순환41번,165000514
순환42번,165000515
순환43번,165000516
순환44번,165000517
12번,165000015
76번,165000050
76A번,161000010
M6450번,161000004
20번,165000022
21번,165000023
27번,165000029
38번,165000037
5번,165000379
5-1번,165000006
30번,165000031
78번,165000052
M6439번,168000005
급행97번,161000011
112번,165000058
306번,165000068
306A번,165000483
307번,165000343
308번,165000070
310번,165000508
43번,165000441
43-1번,165000439
44번,165000507
M6724번,165000381
556번,165000102
558번,165000104
571번,165000118
581번,165000121
583번,165000123
590번,165000129
순환83번,166000009
인천e음55번,166000006
인천e음61번,166000007
인천e음71번,166000008
6770번,165000497
24번,165000027
514-1번,165000076
530번,165000330
557번,165000103
557A번,165000501
560번,165000106
564번,165000110
564-1번,165000111
564-2번,165000378
579번,165000120
593번,165000133
순환51번,163000001
